year,month,housing_units,time_c,housing_units_pred,deviations,detrend_deseas_data
1968.0,1.0,35.6,-275.5,51.105631338941755,-15.505631338941754,37.89436866105826
1968.0,2.0,31.5,-274.5,50.25868041638268,-18.75868041638268,34.64131958361733
1968.0,3.0,42.5,-273.5,55.3899903633888,-12.889990363388797,40.510009636611215
1968.0,4.0,42.9,-272.5,55.46912639735145,-12.569126397351454,40.83087360264856
1968.0,5.0,46.2,-271.5,58.05478417044454,-11.854784170444539,41.545215829555474
1968.0,6.0,37.7,-270.5,62.0817462913637,-24.381746291363697,29.018253708636315
1968.0,7.0,50.3,-269.5,59.591317107935055,-9.291317107935058,44.108682892064955
1968.0,8.0,46.6,-268.5,63.53349662015858,-16.93349662015858,36.466503379841434
1968.0,9.0,48.7,-267.5,60.977850045425576,-12.277850045425573,41.12214995457444
1968.0,10.0,50.2,-266.5,62.71350781851866,-12.513507818518654,40.88649218148136
1968.0,11.0,45.7,-265.5,57.560035156829144,-11.860035156829142,41.53996484317087
1968.0,12.0,49.8,-264.5,64.6196059734005,-14.819605973400499,38.580394026599514
1969.0,1.0,40.1,-263.5,50.88135070301531,-10.781350703015306,42.61864929698471
1969.0,2.0,34.8,-262.5,50.03439978045623,-15.234399780456236,38.16560021954378
1969.0,3.0,53.3,-261.5,55.165709727462364,-1.8657097274623666,51.534290272537646
1969.0,4.0,38.1,-260.5,55.244845761425005,-17.144845761425003,36.25515423857501
1969.0,5.0,50.9,-259.5,57.830503534518094,-6.930503534518095,46.46949646548192
1969.0,6.0,53.7,-258.5,61.85746565543727,-8.157465655437264,45.24253434456275
1969.0,7.0,46.5,-257.5,59.367036472008614,-12.867036472008614,40.5329635279914
1969.0,8.0,45.8,-256.5,63.309215984232125,-17.509215984232128,35.890784015767885
1969.0,9.0,48.4,-255.5,60.753569409499136,-12.353569409499137,41.046430590500876
1969.0,10.0,49.4,-254.5,62.48922718259222,-13.089227182592218,40.310772817407795
1969.0,11.0,38.9,-253.5,57.3357545209027,-18.435754520902698,34.964245479097315
1969.0,12.0,53.2,-252.5,64.39532533747405,-11.195325337474046,42.20467466252597
1970.0,1.0,43.7,-251.5,50.657070067088874,-6.957070067088871,46.44292993291114
1970.0,2.0,39.6,-250.5,49.810119144529786,-10.210119144529784,43.18988085547023
1970.0,3.0,40.0,-249.5,54.941429091535916,-14.941429091535916,38.4585709084641
1970.0,4.0,43.9,-248.5,55.02056512549857,-11.120565125498572,42.27943487450144
1970.0,5.0,40.5,-247.5,57.606222898591646,-17.106222898591646,36.29377710140837
1970.0,6.0,60.1,-246.5,61.63318501951082,-1.5331850195108174,51.866814980489195
1970.0,7.0,45.5,-245.5,59.142755836082166,-13.642755836082166,39.757244163917846
1970.0,8.0,65.9,-244.5,63.08493534830568,2.8150646516943283,56.21506465169434
1970.0,9.0,49.7,-243.5,60.52928877357269,-10.829288773572685,42.57071122642733
1970.0,10.0,62.6,-242.5,62.26494654666577,0.33505345333423264,53.735053453334245
1970.0,11.0,52.4,-241.5,57.11147388497625,-4.71147388497625,48.68852611502376
1970.0,12.0,50.9,-240.5,64.1710447015476,-13.271044701547602,40.12895529845241
1971.0,1.0,46.8,-239.5,50.432789431162426,-3.632789431162429,49.767210568837584
1971.0,2.0,45.1,-238.5,49.58583850860334,-4.4858385086033365,48.914161491396676
1971.0,3.0,50.0,-237.5,54.71714845560947,-4.717148455609468,48.682851544390545
1971.0,4.0,60.6,-236.5,54.79628448957212,5.803715510427878,59.20371551042789
1971.0,5.0,60.4,-235.5,57.381942262665206,3.018057737334793,56.418057737334806
1971.0,6.0,63.4,-234.5,61.40890438358437,1.9910956164156275,55.39109561641564
